ÝZMÝR ATATÜRK ANADOLU LÝSESÝ 7/A SINIFI ÖÐRENCÝ NOTLARI

No Ad Soyad Mail Telefon DogumTarihi Vize Ödev Final
1 Ahmet Sel ahmets@gmail.com 05541654167 02/05/1996 65 25 65
2 Yeþim Sunal yesimsunal@gmail.com 05536583267 12/09/1999 25 80 75
3 Merve Doðu merdog@hotmail.com 05369125626 25/06/1995 55 35 90
4 Ece Acar ece.acar@outlook.com 05535689625 24/11/1999 70 50 90
5 Okan Aslan okanas@gmail.com 05541236374 16/11/1998 75 35 65
6 Mehmet Ývdil mehiv@gmail.com 05598568475 11/11/1998 25 80 75
7 Göksel Yurtsever goksely@hotmail.com 05369632426 22/07/1997 55 55 100
8 Aydýn Han aydinhan2@outlook.com 05531789325 24/10/1998 60 30 90
9 Çaðrý Serin cagriserin97@gmail.com 05541232365 19/08/1997 75 25 65
10 Yýldýz Tuna yildiztuna8@gmail.com 05552145267 02/09/1998 25 80 95
11 Asiye Karadeniz asiye.krdnz@hotmail.com 05369697426 23/06/1998 55 35 40
12 Pelin Çelik p.celik@outlook.com 05531663225 14/08/1998 50 30 50
13 Yunus Deniz yunus_deniz@gmail.com 05544587267 12/09/1998 55 15 65
14 Alara Dolunay alara.dlny@gmail.com 05596636267 11/09/1998 25 80 65
15 Sinem Yavaþ syavas.95@hotmail.com 05369632226 21/10/1995 45 65 60
16 Çiçek Özbek cicekozbek1@outlook.com 05539865225 19/02/1998 50 30 50
17 Hasan Gökdeniz hgokdeniz@gmail.com 05541824667 23/08/1997 55 15 25
18 Hatice Doruk htcdrk56@gmail.com 05598632767 16/11/1998 25 50 65
19 Hülya Kartepe hulyakartepe89@hotmail.com 05369875426 25/05/1994 45 75 80
20 Selin Sever sln.svr98@outlook.com 05563986325 14/02/1998 40 20 80
21 Ahmet Sel ahmets@gmail.com 05541654167 02/05/1996 65 25 65
22 Yeþim Sunal yesimsunal@gmail.com 05536583267 12/09/1999 25 80 75
23 Merve Doðu merdog@hotmail.com 05369125626 25/06/1995 55 35 90
24 Ece Alaca ece.alaca@outlook.com 05531589625 14/12/1999 40 50 90
25 Okan Aslan okanas@gmail.com 05541236374 16/11/1998 75 35 65
26 Mehmet Ývril mehivril@gmail.com 05595658475 21/11/1998 35 80 75
27 Göksel Yurtsever goksely@hotmail.com 05369632426 22/07/1997 55 55 100
28 Aydýn Han aydinhan2@outlook.com 05531789325 24/10/1998 60 30 90
29 Çaðrý Serin cagriserin97@gmail.com 05541232365 19/08/1997 75 25 65
30 Yýldýz Tuna yildiztuna8@gmail.com 05552145267 02/09/1998 25 80 95
31 Asiye Karadeniz asiye.krdnz@hotmail.com 05369697426 23/06/1998 55 35 80
32 Pelin Çalýk p.calik@outlook.com 05531641225 04/08/1998 90 60 50
33 Yakup Deniz y_deniz@gmail.com 05541145267 22/09/1998 45 15 65
34 Alara Dolunay alara.dlny@gmail.com 05596636267 11/09/1998 25 80 65
35 Sinem Yavaþ syavas.95@hotmail.com 05369632226 21/10/1995 45 65 60
36 Çiçek Özbek cicekozbek1@outlook.com 05539865225 19/02/1998 50 30 50
37 Hasan Gökdeniz hgokdeniz@gmail.com 05541824667 23/08/1997 55 15 85
38 Hatice Doruk htcdrk56@gmail.com 05598632767 16/11/1998 25 50 65
39 Hülya Kartepe hulyakartepe89@hotmail.com 05369875426 25/05/1994 45 75 80
40 Selin Sever sln.svr98@outlook.com 05563986325 14/02/1998 40 20 80
41 Ahmet Sel ahmets@gmail.com 05541654167 02/05/1996 65 25 65
